Ailment A,62,7
Ailment A,60,20
Ailment A,87,8
Ailment A,38,13
Ailment A,5,2
Ailment A,8,5
Ailment A,44,17
Ailment A,19,4
Ailment A,29,7
Ailment A,20,4
Ailment A,78,7
Ailment A,66,5
Ailment A,62,4
Ailment A,78,8
Ailment A,63,9
Ailment A,24,18
Ailment A,66,18
Ailment A,45,20
Ailment A,87,1
Ailment A,27,2
Ailment A,49,7
Ailment A,44,11
Ailment A,21,9
Ailment A,43,1
Ailment A,24,12
Ailment A,11,11
Ailment A,45,9
Ailment A,6,12
Ailment A,55,9
Ailment A,68,13
Ailment A,65,12
Ailment A,9,1
Ailment A,42,7
Ailment A,71,9
Ailment A,51,19
Ailment A,81,14
Ailment A,26,9
Ailment A,63,15
Ailment A,99,7
Ailment A,28,17
Ailment A,46,9
Ailment A,30,16
Ailment A,85,19
Ailment A,67,19
Ailment A,27,8
Ailment A,80,18
Ailment A,45,9
Ailment A,98,4
Ailment A,79,8
Ailment A,44,14
Ailment A,46,17
Ailment A,19,20
Ailment A,80,3
Ailment A,96,10
Ailment A,53,17
Ailment A,43,3
Ailment A,49,2
Ailment A,97,6
Ailment A,28,2
Ailment A,15,17
Ailment A,3,3
Ailment A,84,9
Ailment A,51,17
Ailment A,39,8
Ailment A,68,9
Ailment A,72,14
Ailment A,41,19
Ailment A,89,7
Ailment A,62,2
Ailment A,31,5
Ailment A,31,11
Ailment A,11,10
Ailment A,45,19
Ailment A,11,15
Ailment A,16,2
Ailment A,71,15
Ailment A,12,1
Ailment A,36,12
Ailment A,59,5
Ailment A,20,12
Ailment A,38,5
Ailment A,7,20
Ailment A,69,11
Ailment A,29,4
Ailment A,83,8
Ailment A,52,14
Ailment A,96,12
Ailment A,34,20
Ailment A,58,20
Ailment A,74,15
Ailment A,3,10
Ailment A,26,17
Ailment A,99,6
Ailment A,83,3
Ailment A,64,10
Ailment A,16,6
Ailment A,92,8
Ailment A,34,20
Ailment A,35,14
Ailment A,94,13